line_id,text
L01,வணக்கம்! நான் பாருல் — உங்கள் ரிலேஷன்ஷிப் மேனேஜர்.
L02,"இன்று நாம் சேர்ந்து Google Maps கற்றுக்கொள்வோம். வெறும் எட்டு நிமிடங்கள்தான், சுவாரஸ்யமாகவும் இருக்கும்."
L03,முதலில் ஒரு முக்கியமான விஷயம் — படிக்க எழுத தெரிய வேண்டிய அவசியமே இல்லை. வண்ணங்களையும் ஐகான்களையும் அடையாளம் கண்டால் போதும்.
L04,"பச்சை போர்டு, நீல அம்பு, சிவப்பு பலூன். இந்த மூன்று விஷயங்களால் நீங்கள் எங்கும் போய்ச் சேரலாம்."
L05,"கடைசியில் ஐந்து சிறிய கேள்விகள் வரும். நான் கேள்வி கேட்பேன், நீங்கள் திரையில் சரியான பதிலை தொட வேண்டும் — விரலால் அழுத்த வேண்டும்."
L06,தவறு ஆனால் பரவாயில்லை. எத்தனை முறை வேண்டுமானாலும் மீண்டும் செய்யலாம். தொடங்குவோம் — ஒலியை ஆன் செய்து வையுங்கள்.
L07,இது உங்கள் ஆப். எல்லாவற்றுக்கும் மேலே இன்றைய தேதி — ஜூலை இருபத்தெட்டு.
L08,இந்த பச்சை கார்டு — இதில் “சல் ரஹா ஹை” என்று உள்ளது. அதாவது இந்த வேலை இப்போது நடந்துகொண்டிருக்கிறது.
L09,"இந்த வெள்ளை கார்டு — “ஆனே வாலா”. இது உங்கள் அடுத்த வேலை, சமீர் வீட்டில்."
L10,அந்த வேலையைத் திறக்க இந்த அம்பு பட்டனை தொடுங்கள். ஒரே ஒரு முறை.
L11,வேலை திறந்துவிட்டது. மேலே உள்ள கடிகாரம் சொல்கிறது — ஐம்பத்தைந்து நிமிடங்களில் போய்ச் சேர வேண்டும்.
L12,இங்கே வாடிக்கையாளரின் பெயரும் முழு முகவரியும் உள்ளது. படிக்க முயற்சிக்காதீர்கள் — தேவையில்லை.
L13,இந்த பச்சை போன் ஐகான் — வாடிக்கையாளருடன் பேச. வீடு கண்டுபிடிக்க சிரமம் என்றால் இங்கிருந்தே கால் செய்யுங்கள்.
L14,"இப்போது மிக முக்கியமான விஷயம். இதைப் பாருங்கள் — வண்ணமயமான ஐகான். பச்சை, மஞ்சள், நீலம், மேலே ஒரு சிறிய சிவப்பு பலூன்."
L15,"இதுதான் Google Maps. அதன் பக்கத்தில் “திசைகள்” என்று உள்ளது. ஒரு முறை தொடுங்கள், Maps தானாக திறக்கும்."
L16,கீழே உள்ள இந்த ஊதா நிற பட்டன் — “மார்க் ஆ கயா”. வாடிக்கையாளர் வீட்டை அடைந்த பிறகுதான் இதை அழுத்த வேண்டும். இப்போது வேண்டாம். நினைவில் வையுங்கள் — ஊதா என்றால் வந்து சேர்ந்துவிட்டீர்கள்.
L17,"Maps திறந்துவிட்டது. மேலே இரண்டு வரிகள் தெரிகின்றன — முதலாவது உங்கள் இடம், இரண்டாவது வாடிக்கையாளரின் முகவரி."
L18,இந்த நீல வட்டப் புள்ளி — இந்த நேரத்தில் நீங்கள் இங்கே நிற்கிறீர்கள்.
L19,இந்த சிவப்பு பலூன் — வாடிக்கையாளரின் வீடு. இங்குதான் போய்ச் சேர வேண்டும்.
L20,"நடுவில் உள்ள இந்த நீல புள்ளிகளின் கோடு — இதுதான் உங்கள் வழி. இதன் மீது நடந்தால் போதும், அவ்வளவுதான்."
L21,"வெளிர் சாம்பல் கோடுகளும் தெரியும். அவை வேறு வழிகள், கொஞ்சம் நீளமானவை. அவற்றை விட்டுவிடுங்கள் — அடர் நீலக் கோடுதான் உங்களுடையது."
L22,"மேலே பாருங்கள் — கார், பைக், பஸ், நடக்கும் மனிதன்."
L23,"நீங்கள் நடந்து செல்கிறீர்கள், எனவே நடக்கும் மனிதன் ஐகானை தொடுங்கள். அது நீலமாக மாறியது — அதாவது தேர்வு ஆகிவிட்டது."
L24,"இங்கே இருபத்து நான்கு நிமிடங்கள் என்று உள்ளது, தூரம் சுமார் இரண்டு கிலோமீட்டர். அதாவது நடந்தால் இருபத்து நான்கு நிமிடங்கள் ஆகும்."
L25,இப்போது மிக முக்கியமான பட்டன் — கீழே இடது பக்கம் உள்ள இந்த அடர் பச்சை பட்டன். இதை அழுத்துங்கள். இங்கிருந்துதான் Maps பேசி வழி சொல்லத் தொடங்கும்.
L26,"பாருங்கள், பயணம் தொடங்கிவிட்டது. மேலே உள்ள இந்த பச்சை போர்டு — மிகவும் பயனுள்ளது. உங்கள் அடுத்த திருப்பத்தை காட்டும்."
L27,போர்டில் உள்ள இந்த நேர் மேல் அம்பு — நேராகச் செல்லுங்கள் என்று அர்த்தம். திரும்பக் கூடாது.
L28,அதன் கீழே சிறிய இடது அம்பு — அதற்குப் பிறகு இடதுபுறம் திரும்ப வேண்டும் என்று அர்த்தம். Maps முன்கூட்டியே சொல்லிவிடும்.
L29,"இந்த நீல அம்பு — இது நீங்கள்தான். நீங்கள் நடக்க நடக்க, இந்த அம்பும் முன்னே நகரும்."
L30,மேலே அதே சிவப்பு பலூன் — வாடிக்கையாளரின் வீடு. அம்பை பலூன் வரை கொண்டு செல்ல வேண்டும்.
L31,வலது பக்கம் இந்த ஸ்பீக்கர் ஐகான். குரல் கேட்கவில்லை என்றால் ஒரு முறை அழுத்துங்கள். பிறகு Maps பேசும் — “இருநூறு மீட்டரில் இடதுபுறம் திரும்புங்கள்.”
L32,"மேப் அங்கும் இங்கும் நகர்ந்து நீல அம்பு தெரியாமல் போனால், இடது பக்கம் உள்ள இந்த வெள்ளை பட்டனை அழுத்துங்கள். நீல அம்பு மீண்டும் நடுவில் வந்துவிடும்."
L33,"கீழே எப்போதும் தெரியும் — இன்னும் எவ்வளவு நேரம், எவ்வளவு தூரம் மீதம் உள்ளது."
L34,இந்த சிவப்பு பட்டன் — வழியை மூடுவதற்கு. வாடிக்கையாளர் வீட்டை அடையும் முன் இதை தவறியும் அழுத்தாதீர்கள்.
L35,இப்போது பயிற்சி. முதலாவது — எளிது. நான் நடத்திக் காட்டுகிறேன்.
L36,போர்டு நேராகச் செல்லுங்கள் என்கிறது. பாருங்கள் — நீல அம்பு நீல புள்ளிகளின் மீது முன்னேறுகிறது.
L37,இப்போது போர்டு மாறிவிட்டது — இடது அம்பு. இங்கிருந்து இடதுபுறம் திரும்ப வேண்டும் என்று அர்த்தம்.
L38,"அம்பு திரும்பிவிட்டது. Maps பயன்படுத்துவது இவ்வளவுதான் — போர்டைப் பாருங்கள், நடந்துகொண்டே இருங்கள்."
L39,இரண்டாவது பயிற்சி — கொஞ்சம் கடினம். கவனமாகப் பாருங்கள்.
L40,"இங்கே ஒரு இடம் வரும், அங்கே நேர் வழியும் திறந்திருக்கும். மனது சொல்லும் — நேராகவே போ."
L41,"ஆனால் போர்டில் இடது அம்பு உள்ளது. நீங்கள் நேராகவே சென்றால் — பாருங்கள், அம்பு சிவப்பாக மாறிவிட்டது. வழி தவறிவிட்டது."
L42,"எனவே நினைவில் வையுங்கள் — கண்களை அல்ல, போர்டையும் குரலையும் நம்புங்கள். Maps சொல்வதைச் செய்யுங்கள். இதுதான் மிகப் பெரிய பாடம்."
L43,மூன்றாவது பயிற்சி — மிகக் கடினமானது. ஆனால் பயப்பட எதுவும் இல்லை.
L44,"போன் பாக்கெட்டில் இருக்கிறது, திரை அணைந்துவிட்டது என்று வைத்துக்கொள்ளுங்கள். கவலை வேண்டாம் — குரல் தொடர்ந்து ஒலிக்கும். Maps பேசிக்கொண்டே இருக்கும்."
L45,போனை எடுத்து திரையை ஆன் செய்யுங்கள் — வழி எங்கே விட்டீர்களோ அங்கேயே இருக்கும். எதுவும் கெடாது.
L46,இப்போது இன்னொரு பயம். திருப்பம் தவறி தவறான தெருவில் போய்விட்டீர்கள் என்று வைத்துக்கொள்ளுங்கள்.
L47,என்ன நடக்கிறது பாருங்கள். Maps கோபப்படாது. அமைதியாக உங்களுக்கு புதிய வழியை உருவாக்கும் — இந்த புதிய நீலக் கோடு.
L48,"எனவே தவறான திருப்பம் எடுத்தால் நிற்காதீர்கள், திரும்பி ஓடாதீர்கள். நடந்துகொண்டே இருங்கள், புதிய நீலக் கோட்டைப் பாருங்கள்."
L49,நடந்துகொண்டே இருங்கள்... இன்னும் கொஞ்சம்... இப்போது அம்பு சிவப்பு பலூனை நெருங்குகிறது.
L50,வந்து சேர்ந்துவிட்டீர்கள்! வாடிக்கையாளர் வீட்டுக்கு வெளியே நிற்கிறீர்கள். இனி Maps வேலை முடிந்தது.
L51,இப்போது உங்கள் ஆப்பிற்கு திரும்பி வந்து கீழே உள்ள ஊதா பட்டனை அழுத்துங்கள் — “மார்க் ஆ கயா”. அதன் பொருள்: நான் வந்து சேர்ந்துவிட்டேன்.
L52,மிகவும் நன்று! இப்போது ஐந்து சிறிய கேள்விகள். கேள்வியையும் எல்லா பதில்களையும் நான் சொல்வேன். நீங்கள் திரையில் சரியான பதிலை தொடுங்கள்.
Q1_ASK,அடுத்த திருப்பம் எங்கே தெரியும்?
Q1_OPT1,மேலே பச்சை போர்டு
Q1_OPT2,கீழே சிவப்பு பட்டன்
Q1_OPT3,வலது பக்கம் ஸ்பீக்கர்
Q1_OK,சரி! பச்சை போர்டுதான் அடுத்த திருப்பத்தைக் காட்டும்.
Q1_NO,இல்லை. அடுத்த திருப்பம் எப்போதும் மேலே பச்சை போர்டில் தெரியும். மீண்டும் முயற்சிக்கவும்.
Q2_ASK,மேப்பில் நீங்கள் யார்?
Q2_OPT1,நீல அம்பு
Q2_OPT2,சிவப்பு பலூன்
Q2_OPT3,சாம்பல் கோடு
Q2_OK,முற்றிலும் சரி! நீல அம்பு நீங்கள். சிவப்பு பலூன் வாடிக்கையாளரின் வீடு.
Q2_NO,இல்லை. சிவப்பு பலூன் வாடிக்கையாளரின் வீடு — நீங்கள் நீல அம்பு. மீண்டும் முயற்சிக்கவும்.
Q3_ASK,Maps குரல் கேட்கவில்லை. எதை அழுத்துவீர்கள்?
Q3_OPT1,ஸ்பீக்கர் ஐகான்
Q3_OPT2,கீழே சிவப்பு பட்டன்
Q3_OPT3,இடது பக்கம் வெள்ளை பட்டன்
Q3_OK,"சரி! ஸ்பீக்கரை அழுத்துங்கள், குரல் திரும்பி வரும்."
Q3_NO,இல்லை. சிவப்பு பட்டன் வழியை மூடிவிடும். ஒலிக்கு ஸ்பீக்கர் ஐகானை அழுத்துங்கள். மீண்டும் முயற்சிக்கவும்.
Q4_ASK,தவறான திருப்பம் எடுத்துவிட்டீர்கள். இப்போது என்ன செய்வீர்கள்?
Q4_OPT1,"நடந்துகொண்டே இருங்கள், Maps புதிய வழியை உருவாக்கும்"
Q4_OPT2,சிவப்பு பட்டனை அழுத்தி Maps-ஐ மூடுங்கள்
Q4_OPT3,அதே இடத்திற்கு திரும்பி ஓடுங்கள்
Q4_OK,சரியாகச் சொன்னீர்கள்! Maps தானாகவே புதிய வழியை உருவாக்கும். நடந்துகொண்டே இருங்கள்.
Q4_NO,இல்லை. Maps-ஐ மூடவோ திரும்பி ஓடவோ தேவையில்லை. நடந்துகொண்டே இருங்கள் — புதிய வழி தானாக உருவாகும்.
Q5_ASK,வாடிக்கையாளர் வீட்டை அடைந்துவிட்டீர்கள். ஆப்பில் எதை அழுத்துவீர்கள்?
Q5_OPT1,கீழே ஊதா பட்டன்
Q5_OPT2,பச்சை போன் ஐகான்
Q5_OPT3,மேலே எமர்ஜென்சி
Q5_OK,சரி! ஊதா பட்டன் — “மார்க் ஆ கயா”.
Q5_NO,இல்லை. வந்து சேர்ந்ததும் கீழே உள்ள ஊதா பட்டனை அழுத்த வேண்டும். மீண்டும் முயற்சிக்கவும்.
TAP_NOW,இப்போது சரியான பதிலை தொடுங்கள்.
CERT_FULL,சபாஷ்! ஐந்தில் ஐந்து. நீங்கள் Maps கற்றுக்கொண்டீர்கள்.
CERT_PART,மிகவும் நன்று! சில கேள்விகளை முதல் முயற்சியிலேயே சரி செய்தீர்கள். விரும்பினால் வினாடி வினாவை மீண்டும் செய்யலாம்.
