line_id,text
L01,ನಮಸ್ತೆ! ನಾನು ಪಾರುಲ್ — ನಿಮ್ಮ ರಿಲೇಶನ್‌ಶಿಪ್ ಮ್ಯಾನೇಜರ್.
L02,"ಇಂದು ನಾವು ಜೊತೆಯಾಗಿ Google Maps ಕಲಿಯೋಣ. ಕೇವಲ ಎಂಟು ನಿಮಿಷ, ಮಜವೂ ಬರುತ್ತದೆ."
L03,ಮೊದಲು ಒಂದು ಮುಖ್ಯ ವಿಷಯ — ಓದು-ಬರಹ ಬರಬೇಕೆಂದೇನೂ ಇಲ್ಲ. ಬಣ್ಣ ಮತ್ತು ಚಿಹ್ನೆಗಳನ್ನು ಗುರುತಿಸಿದರೆ ಸಾಕು.
L04,"ಹಸಿರು ಬೋರ್ಡ್, ನೀಲಿ ಬಾಣ, ಕೆಂಪು ಬಲೂನ್. ಈ ಮೂರು ವಿಷಯಗಳಿಂದ ನೀವು ಎಲ್ಲಿಗೆ ಬೇಕಾದರೂ ತಲುಪಬಹುದು."
L05,"ಕೊನೆಯಲ್ಲಿ ಐದು ಚಿಕ್ಕ ಪ್ರಶ್ನೆಗಳು ಬರುತ್ತವೆ. ನಾನು ಪ್ರಶ್ನೆ ಕೇಳುತ್ತೇನೆ, ನೀವು ಪರದೆಯ ಮೇಲೆ ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಟ್ಯಾಪ್ ಮಾಡಬೇಕು — ಬೆರಳಿನಿಂದ ಒತ್ತಬೇಕು."
L06,ತಪ್ಪಾದರೆ ಪರವಾಗಿಲ್ಲ. ಎಷ್ಟು ಬಾರಿ ಬೇಕಾದರೂ ಮತ್ತೆ ಮಾಡಬಹುದು. ಶುರು ಮಾಡೋಣ — ಧ್ವನಿ ಆನ್ ಇಟ್ಟುಕೊಳ್ಳಿ.
L07,ಇದು ನಿಮ್ಮ ಆ್ಯಪ್. ಎಲ್ಲಕ್ಕಿಂತ ಮೇಲೆ ಇಂದಿನ ದಿನಾಂಕ — ಜುಲೈ ಇಪ್ಪತ್ತೆಂಟು.
L08,ಈ ಹಸಿರು ಕಾರ್ಡ್ — ಇದರಲ್ಲಿ “ಚಲ್ ರಹಾ ಹೈ” ಎಂದು ಬರೆದಿದೆ. ಅಂದರೆ ಈ ಕೆಲಸ ಈಗ ನಡೆಯುತ್ತಿದೆ.
L09,"ಮತ್ತು ಈ ಬಿಳಿ ಕಾರ್ಡ್ — “ಆನೇ ವಾಲಾ”. ಇದು ನಿಮ್ಮ ಮುಂದಿನ ಕೆಲಸ, ಸಮೀರ್ ಅವರ ಮನೆಯಲ್ಲಿ."
L10,ಆ ಕೆಲಸ ತೆರೆಯಲು ಈ ಬಾಣದ ಬಟನ್ ಟ್ಯಾಪ್ ಮಾಡಿ. ಒಂದೇ ಬಾರಿ.
L11,ಕೆಲಸ ತೆರೆದಿದೆ. ಮೇಲಿನ ಗಡಿಯಾರ ಹೇಳುತ್ತಿದೆ — ಐವತ್ತೈದು ನಿಮಿಷದಲ್ಲಿ ತಲುಪಬೇಕು.
L12,ಇಲ್ಲಿ ಗ್ರಾಹಕರ ಹೆಸರು ಮತ್ತು ಪೂರ್ಣ ವಿಳಾಸ ಇದೆ. ಓದಲು ಪ್ರಯತ್ನಿಸಬೇಡಿ — ಅಗತ್ಯವಿಲ್ಲ.
L13,ಈ ಹಸಿರು ಫೋನ್ ಚಿಹ್ನೆ — ಗ್ರಾಹಕರೊಂದಿಗೆ ಮಾತನಾಡಲು. ಮನೆ ಹುಡುಕಲು ಕಷ್ಟವಾದರೆ ಇಲ್ಲಿಂದಲೇ ಕರೆ ಮಾಡಿ.
L14,"ಈಗ ಅತ್ಯಂತ ಮುಖ್ಯವಾದ ವಿಷಯ. ಇದನ್ನು ನೋಡಿ — ಬಣ್ಣಬಣ್ಣದ ಚಿಹ್ನೆ. ಹಸಿರು, ಹಳದಿ, ನೀಲಿ, ಮೇಲೆ ಒಂದು ಚಿಕ್ಕ ಕೆಂಪು ಬಲೂನ್."
L15,"ಇದೇ Google Maps. ಇದರ ಪಕ್ಕದಲ್ಲಿ “ದಿಕ್ಕುಗಳು” ಎಂದು ಬರೆದಿದೆ. ಒಮ್ಮೆ ಟ್ಯಾಪ್ ಮಾಡಿ, Maps ತಾನಾಗಿಯೇ ತೆರೆಯುತ್ತದೆ."
L16,ಕೆಳಗಿರುವ ಈ ನೇರಳೆ ಬಟನ್ — “ಮಾರ್ಕ್ ಆ ಗಯಾ”. ಗ್ರಾಹಕರ ಮನೆ ತಲುಪಿದ ಮೇಲೆ ಮಾತ್ರ ಇದನ್ನು ಒತ್ತಬೇಕು. ಈಗ ಬೇಡ. ನೆನಪಿಡಿ — ನೇರಳೆ ಅಂದರೆ ತಲುಪಿದ್ದೀರಿ.
L17,"Maps ತೆರೆದಿದೆ. ಮೇಲೆ ಎರಡು ಸಾಲುಗಳು ಕಾಣುತ್ತವೆ — ಮೊದಲನೆಯದು ನಿಮ್ಮ ಜಾಗ, ಎರಡನೆಯದು ಗ್ರಾಹಕರ ವಿಳಾಸ."
L18,ಈ ನೀಲಿ ದುಂಡು ಚುಕ್ಕೆ — ಈ ಕ್ಷಣ ನೀವು ಇಲ್ಲೇ ನಿಂತಿದ್ದೀರಿ.
L19,ಮತ್ತು ಈ ಕೆಂಪು ಬಲೂನ್ — ಗ್ರಾಹಕರ ಮನೆ. ಇಲ್ಲಿಗೇ ತಲುಪಬೇಕು.
L20,"ಮಧ್ಯದಲ್ಲಿರುವ ಈ ನೀಲಿ ಚುಕ್ಕೆಗಳ ಗೆರೆ — ಇದೇ ನಿಮ್ಮ ದಾರಿ. ಇದರ ಮೇಲೆ ನಡೆದರೆ ಸಾಕು, ಅಷ್ಟೆ."
L21,"ಜೊತೆಗೆ ತಿಳಿ ಬೂದು ಗೆರೆಗಳೂ ಕಾಣುತ್ತವೆ. ಅವು ಬೇರೆ ದಾರಿಗಳು, ಸ್ವಲ್ಪ ಉದ್ದ. ಅವನ್ನು ಬಿಟ್ಟುಬಿಡಿ — ಗಾಢ ನೀಲಿ ಗೆರೆ ನಿಮ್ಮದು."
L22,"ಮೇಲೆ ನೋಡಿ — ಕಾರು, ಬೈಕ್, ಬಸ್, ಮತ್ತು ನಡೆಯುವ ಮನುಷ್ಯ."
L23,"ನೀವು ನಡೆದು ಹೋಗುತ್ತಿದ್ದೀರಿ, ಆದ್ದರಿಂದ ನಡೆಯುವ ಮನುಷ್ಯನ ಚಿಹ್ನೆ ಟ್ಯಾಪ್ ಮಾಡಿ. ಅದು ನೀಲಿಯಾಯಿತು — ಅಂದರೆ ಆಯ್ಕೆಯಾಗಿದೆ."
L24,"ಇಲ್ಲಿ ಇಪ್ಪತ್ನಾಲ್ಕು ನಿಮಿಷ ಎಂದು ಬರೆದಿದೆ, ದೂರ ಸುಮಾರು ಎರಡು ಕಿಲೋಮೀಟರ್. ಅಂದರೆ ನಡೆದರೆ ಇಪ್ಪತ್ನಾಲ್ಕು ನಿಮಿಷ ಆಗುತ್ತದೆ."
