line_id,text
L01,నమస్తే! నేను పారుల్ — మీ రిలేషన్‌షిప్ మేనేజర్.
L02,"ఈరోజు మనం కలిసి Google Maps నేర్చుకుందాం. కేవలం ఎనిమిది నిమిషాలు, సరదాగా కూడా ఉంటుంది."
L03,"ముందుగా ఒక ముఖ్యమైన విషయం — చదవడం రాయడం అస్సలు అవసరం లేదు. రంగులు, గుర్తులు గుర్తుపడితే చాలు."
L04,"ఆకుపచ్చ బోర్డు, నీలి బాణం, ఎర్ర బెలూన్. ఈ మూడు విషయాలతో మీరు ఎక్కడికైనా చేరుకోవచ్చు."
L05,"చివర్లో ఐదు చిన్న ప్రశ్నలు వస్తాయి. నేను ప్రశ్న అడుగుతాను, మీరు స్క్రీన్ మీద సరైన సమాధానాన్ని ట్యాప్ చేయాలి — వేలితో నొక్కాలి."
L06,తప్పైనా పర్వాలేదు. ఎన్నిసార్లయినా మళ్లీ చేయవచ్చు. మొదలుపెడదాం — సౌండ్ ఆన్‌లో ఉంచండి.
L07,ఇది మీ యాప్. అన్నిటికంటే పైన ఈరోజు తేదీ — జూలై ఇరవై ఎనిమిది.
L08,ఈ ఆకుపచ్చ కార్డు — దీని మీద “చల్ రహా హై” అని ఉంది. అంటే ఈ పని ఇప్పుడు జరుగుతోంది.
L09,"మరి ఈ తెల్ల కార్డు — “ఆనే వాలా”. ఇది మీ తర్వాతి పని, సమీర్ గారి ఇంట్లో."
L10,ఆ పని తెరవడానికి ఈ బాణం బటన్ ట్యాప్ చేయండి. ఒక్కసారే.
L11,పని తెరుచుకుంది. పైన గడియారం చెబుతోంది — యాభై ఐదు నిమిషాల్లో చేరుకోవాలి.
L12,"ఇక్కడ కస్టమర్ పేరు, పూర్తి చిరునామా ఉంది. చదవడానికి ప్రయత్నించకండి — అవసరం లేదు."
L13,ఈ ఆకుపచ్చ ఫోన్ గుర్తు — కస్టమర్‌తో మాట్లాడటానికి. ఇల్లు కనుక్కోవడం కష్టమైతే ఇక్కడి నుంచే కాల్ చేయండి.
L14,"ఇప్పుడు అన్నిటికంటే ముఖ్యమైన విషయం. ఇది చూడండి — రంగురంగుల గుర్తు. ఆకుపచ్చ, పసుపు, నీలం, పైన ఒక చిన్న ఎర్ర బెలూన్."
L15,"ఇదే Google Maps. దాని పక్కన “దిశలు” అని ఉంది. ఒకసారి ట్యాప్ చేయండి, Maps దానంతట అదే తెరుచుకుంటుంది."
L16,కింద ఉన్న ఈ ఊదా బటన్ — “మార్క్ ఆ గయా”. కస్టమర్ ఇంటికి చేరుకున్న తర్వాతే దీన్ని నొక్కాలి. ఇప్పుడు కాదు. గుర్తుంచుకోండి — ఊదా అంటే చేరుకున్నారు.
L17,"Maps తెరుచుకుంది. పైన రెండు లైన్లు కనిపిస్తున్నాయి — మొదటిది మీ చోటు, రెండోది కస్టమర్ చిరునామా."
L18,ఈ నీలి గుండ్రని చుక్క — ఈ క్షణంలో మీరు ఇక్కడ నిలబడి ఉన్నారు.
L19,మరి ఈ ఎర్ర బెలూన్ — కస్టమర్ ఇల్లు. ఇక్కడికే చేరుకోవాలి.
L20,"మధ్యలో ఉన్న ఈ నీలి చుక్కల గీత — ఇదే మీ దారి. దీని మీద నడిస్తే చాలు, అంతే."
L21,"పాటు లేత బూడిద గీతలు కూడా కనిపిస్తాయి. అవి వేరే దారులు, కొంచెం పొడవు. వాటిని వదిలేయండి — ముదురు నీలి గీత మీది."
L22,"పైన చూడండి — కారు, బైక్, బస్సు, నడిచే మనిషి."
L23,"మీరు నడిచి వెళ్తున్నారు, కాబట్టి నడిచే మనిషి గుర్తుని ట్యాప్ చేయండి. అది నీలం అయింది — అంటే ఎంపిక అయింది."
L24,"ఇక్కడ ఇరవై నాలుగు నిమిషాలు అని ఉంది, దూరం సుమారు రెండు కిలోమీటర్లు. అంటే నడిస్తే ఇరవై నాలుగు నిమిషాలు పడుతుంది."
L25,ఇప్పుడు అన్నిటికంటే ముఖ్యమైన బటన్ — కింద ఎడమవైపు ఉన్న ఈ ముదురు ఆకుపచ్చ బటన్. దీన్ని నొక్కండి. ఇక్కడి నుంచే Maps మాట్లాడి దారి చెప్పడం మొదలుపెడుతుంది.
L26,"చూడండి, ప్రయాణం మొదలైంది. పైన ఉన్న ఈ ఆకుపచ్చ బోర్డు — అన్నిటికంటే పనికొచ్చేది. మీ తర్వాతి మలుపు చూపిస్తుంది."
L27,బోర్డు మీద ఈ నేరుగా పైకి ఉన్న బాణం — అంటే నేరుగా వెళ్తూ ఉండండి. తిరగకూడదు.
L28,దాని కింద చిన్న ఎడమ బాణం — అంటే ఆ తర్వాత ఎడమవైపు తిరగాలి. Maps ముందుగానే చెప్పేస్తుంది.
L29,"ఈ నీలి బాణం — ఇది మీరే. మీరు నడిచే కొద్దీ, ఈ బాణం కూడా ముందుకు సాగుతుంది."
L30,పైన అదే ఎర్ర బెలూన్ — కస్టమర్ ఇల్లు. బాణాన్ని బెలూన్ వరకు చేర్చాలి.
L31,కుడివైపు ఈ స్పీకర్ గుర్తు. వాయిస్ వినిపించకపోతే ఒకసారి నొక్కండి. అప్పుడు Maps మాట్లాడుతుంది — “రెండు వందల మీటర్ల తర్వాత ఎడమవైపు తిరగండి.”
L32,"మ్యాప్ అటూ ఇటూ జరిగి నీలి బాణం కనిపించకపోతే, ఎడమవైపు ఉన్న ఈ తెల్ల బటన్ నొక్కండి. నీలి బాణం మళ్లీ మధ్యలోకి వస్తుంది."
L33,"కింద ఎప్పుడూ కనిపిస్తుంది — ఇంకా ఎంత సమయం, ఎంత దూరం మిగిలింది."
L34,మరి ఈ ఎర్ర బటన్ — దారి మూసేయడానికి. కస్టమర్ ఇంటికి చేరుకునే ముందు దీన్ని పొరపాటున కూడా నొక్కకండి.
L35,ఇప్పుడు ప్రాక్టీస్. మొదటిది — సులభం. నేను నడిపించి చూపిస్తాను.
L36,బోర్డు నేరుగా వెళ్లండి అంటుంది. చూడండి — నీలి బాణం నీలి చుక్కల మీద ముందుకు సాగుతోంది.
L37,ఇప్పుడు బోర్డు మారింది — ఎడమ బాణం. అంటే ఇక్కడి నుంచి ఎడమవైపు తిరగాలి.
L38,"బాణం తిరిగింది. Maps వాడటం ఇంతే — బోర్డు చూడండి, నడుస్తూ ఉండండి."
L39,రెండో ప్రాక్టీస్ — కొంచెం కష్టం. జాగ్రత్తగా చూడండి.
L40,"ఇక్కడ ఒక చోటు వస్తుంది, అక్కడ ముందుకు నేరుగా దారి కూడా తెరిచి ఉంటుంది. మనసు చెబుతుంది — నేరుగా వెళ్ళు."
L41,"కానీ బోర్డు మీద ఎడమ బాణం ఉంది. మీరు నేరుగా వెళ్తే — చూడండి, బాణం ఎర్రగా మారింది. దారి తప్పింది."
L42,"కాబట్టి గుర్తుంచుకోండి — కళ్లను కాదు, బోర్డుని, వాయిస్‌ని నమ్మండి. Maps చెప్పింది చేయండి. ఇదే అతి పెద్ద పాఠం."
L43,మూడో ప్రాక్టీస్ — అన్నిటికంటే కష్టం. కానీ భయపడాల్సిందేమీ లేదు.
L44,"ఫోన్ జేబులో ఉంది, స్క్రీన్ ఆఫ్ అయింది అనుకోండి. కంగారు పడకండి — వాయిస్ కొనసాగుతుంది. Maps మాట్లాడుతూనే ఉంటుంది."
L45,ఫోన్ తీసి స్క్రీన్ ఆన్ చేయండి — దారి ఎక్కడ వదిలారో అక్కడే ఉంటుంది. ఏమీ పాడవదు.
L46,ఇప్పుడు మరో భయం. మలుపు తప్పి తప్పు సందులోకి వెళ్లారు అనుకోండి.
L47,ఏం జరుగుతుందో చూడండి. Maps కోపం తెచ్చుకోదు. నిశ్శబ్దంగా మీ కోసం కొత్త దారి చేస్తుంది — ఈ కొత్త నీలి గీత.
L48,"కాబట్టి తప్పు మలుపు తీసుకున్నప్పుడు ఆగకండి, వెనక్కి పరుగెత్తకండి. నడుస్తూ ఉండండి, కొత్త నీలి గీతను చూడండి."
L49,నడుస్తూ ఉండండి... ఇంకొంచెం... ఇప్పుడు బాణం ఎర్ర బెలూన్ దగ్గరకు చేరుతోంది.
L50,చేరుకున్నారు! మీరు కస్టమర్ ఇంటి బయట నిలబడి ఉన్నారు. ఇక Maps పని అయిపోయింది.
