id	text
L01	नमस्ते! मैं हूँ पारुल — आपकी रिलेशनशिप मैनेजर।
L02	आज हम मिलकर गूगल मैप्स सीखेंगे। सिर्फ़ आठ मिनट लगेंगे, और मज़ा भी आएगा।
L03	सबसे पहले एक ज़रूरी बात — पढ़ना-लिखना बिलकुल ज़रूरी नहीं है। बस रंग और निशान पहचानने हैं।
L04	हरा बोर्ड, नीला तीर, लाल गुब्बारा। इन तीन चीज़ों से आप कहीं भी पहुँच सकते हैं।
L05	और आखिर में पाँच छोटे सवाल आएँगे। मैं सवाल पूछूँगी, और आपको स्क्रीन पर सही जवाब पर टैप करना है — उंगली से दबाना है।
L06	गलत हो जाए तो कोई बात नहीं। जितनी बार चाहें दोबारा कर सकते हैं। चलिए शुरू करें — आवाज़ चालू रखिए।
L07	ये है आपका ऐप। सबसे ऊपर आज की तारीख़ — अट्ठाईस जुलाई।
L08	ये हरा कार्ड — इस पर लिखा है “चल रहा है”। मतलब ये काम अभी चल रहा है।
L09	और ये सफ़ेद कार्ड — “आने वाला”। ये आपका अगला काम है, समीर जी के घर।
L10	उस काम को खोलने के लिए इस तीर वाले बटन पर टैप कीजिए। बस एक बार।
L11	काम खुल गया। ऊपर घड़ी बता रही है — पचपन मिनट बाद पहुँचना है।
L12	यहाँ ग्राहक का नाम और पूरा पता है। इसे पढ़ने की कोशिश मत कीजिए — कोई ज़रूरत नहीं।
L13	ये हरा फ़ोन का निशान — ग्राहक से बात करने के लिए। घर ढूँढ़ने में दिक्कत हो तो यहीं से कॉल कीजिए।
L14	और अब सबसे ज़रूरी चीज़। ये देखिए — रंग-बिरंगा निशान। हरा, पीला, नीला, और ऊपर एक छोटा लाल गुब्बारा।
L15	यही गूगल मैप्स है। इसके आगे लिखा है “निर्देश”। इस पर एक बार टैप कीजिए, और मैप्स खुद खुल जाएगा।
L16	और नीचे ये बैंगनी बटन — “मार्क आ गया”। ये तब दबाना है जब आप ग्राहक के घर पहुँच जाएँ। अभी नहीं। याद रखिए — बैंगनी मतलब पहुँच गए।
L17	मैप्स खुल गया। ऊपर दो लाइनें दिख रही हैं — पहली आपकी जगह, दूसरी ग्राहक का पता।
L18	ये नीली गोल बिंदी — इस वक़्त आप यहाँ खड़े हैं।
L19	और ये लाल गुब्बारा — ग्राहक का घर। यहीं पहुँचना है।
L20	और बीच में जो नीली बिंदियों की लाइन है — यही आपका रास्ता है। इसी पर चलना है, बस इतना ही।
